slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,grouping
543,-33.951663970947266,-34.00000000000165,0.048336029054382834,0.0023363717047461415,4.821455622293863e-05,0.023806095123291016,5
544,-33.991363525390625,-34.00000000000165,0.00863647461102346,7.458869370685281e-05,4.821455622293863e-05,0.04656624794006348,5
545,-34.05144119262695,-34.00000000000165,0.051441192625304666,0.002646196298713699,4.821455622293863e-05,0.024144887924194336,5
546,-33.983272552490234,-34.00000000000165,0.016727447511414084,0.00027980750024711324,4.821455622293863e-05,0.025468111038208008,5
547,-33.92390060424805,-34.00000000000165,0.07609939575360158,0.005791118034063274,4.821455622293863e-05,0.025349140167236328,5
548,-33.83176803588867,-34.00000000000165,0.16823196411297658,0.02830199374930984,4.821455622293863e-05,0.02655625343322754,5
549,-33.59770965576172,-33.500000000001656,0.09770965576006319,0.009547176828750049,4.821455622293863e-05,0.026630878448486328,5
550,-33.47413635253906,-33.500000000001656,0.025863647462593065,0.0006689282600692967,4.821455622293863e-05,0.025333166122436523,5
551,-33.48000717163086,-33.500000000001656,0.01999282837079619,0.000399713186264113,4.821455622293863e-05,0.026035070419311523,5
552,-33.54603576660156,-33.500000000001656,0.046035766599906935,0.002119291806441107,4.821455622293863e-05,0.02589583396911621,5
553,-33.7225456237793,-34.00000000000165,0.2774543762223516,0.07698093088493421,4.821455622293863e-05,0.02207016944885254,5
554,-33.898704528808594,-34.00000000000165,0.10129547119305471,0.010260772484222976,4.821455622293863e-05,0.02582693099975586,5
555,-33.95712661743164,-34.00000000000165,0.042873382570007834,0.0018381269329942516,4.821455622293863e-05,0.025422096252441406,5
556,-33.921451568603516,-34.00000000000165,0.07854843139813283,0.0061698560751071805,4.821455622293863e-05,0.029238224029541016,5
557,-33.84105682373047,-34.00000000000165,0.1589431762711797,0.025262933283171304,4.821455622293863e-05,0.025656938552856445,5
558,-33.755531311035156,-34.00000000000165,0.2444686889664922,0.05976493988499551,4.821455622293863e-05,0.026494264602661133,5
559,-33.69651794433594,-34.00000000000165,0.30348205566571096,0.09210135811108569,4.821455622293863e-05,0.02813720703125,5
560,-33.58158493041992,-33.500000000001656,0.08158493041826631,0.006656100871353356,4.821455622293863e-05,0.025969982147216797,5
561,-33.484500885009766,-33.500000000001656,0.01549911499188994,0.00024022256553182748,4.821455622293863e-05,0.026747703552246094,5
562,-33.37617874145508,-33.500000000001656,0.12382125854657744,0.015331704068058376,4.821455622293863e-05,0.0379338264465332,5
563,-33.28318405151367,-33.500000000001656,0.2168159484879837,0.047009155518743996,4.821455622293863e-05,0.02304220199584961,5
564,-33.229156494140625,-33.500000000001656,0.27084350586103056,0.0733562046670941,4.821455622293863e-05,0.02474689483642578,5
565,-33.274662017822266,-33.500000000001656,0.22533798217938994,0.05077720621267906,4.821455622293863e-05,0.03393411636352539,5
566,-33.387969970703125,-33.500000000001656,0.11203002929853056,0.012550727464629617,4.821455622293863e-05,0.025754928588867188,5
