slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,n_select,group_size,num_groups
705,-32.500465393066406,-32.50000000000167,0.00046539306473647457,2.165907047048084e-07,5.549407867063959e-05,0.0076100826263427734,10,5,2
706,-32.77852249145508,-33.00000000000166,0.22147750854658455,0.04905228679200243,5.549407867063959e-05,0.008163928985595703,10,5,2
707,-33.102420806884766,-33.00000000000166,0.10242080688310295,0.01049002168258587,5.549407867063959e-05,0.0090789794921875,10,5,2
708,-33.20024490356445,-33.00000000000166,0.20024490356279045,0.04009802140287125,5.549407867063959e-05,0.011396169662475586,10,5,2
709,-33.0765495300293,-33.00000000000166,0.0765495300276342,0.005859830547451671,5.549407867063959e-05,0.014220237731933594,10,5,2
710,-32.92279052734375,-33.00000000000166,0.07720947265791267,0.005961302668112964,5.549407867063959e-05,0.009961128234863281,10,5,2
711,-32.76449203491211,-32.50000000000167,0.2644920349104396,0.0699560365310652,5.549407867063959e-05,0.00983285903930664,10,5,2
712,-32.580718994140625,-32.50000000000167,0.08071899413895522,0.0065155560148046875,5.549407867063959e-05,0.0175628662109375,10,5,2
713,-32.4501838684082,-32.50000000000167,0.04981613159346665,0.002481646966937586,5.549407867063959e-05,0.01328420639038086,10,5,2
714,-32.51978302001953,-32.50000000000167,0.019783020017861475,0.0003913678810271078,5.549407867063959e-05,0.008356094360351562,10,5,2
715,-32.64719009399414,-32.50000000000167,0.14719009399247085,0.021664923769512404,5.549407867063959e-05,0.009682893753051758,10,5,2
716,-32.78139114379883,-33.00000000000166,0.21860885620283455,0.04778983201031159,5.549407867063959e-05,0.017995834350585938,10,5,2
717,-32.91035461425781,-33.00000000000166,0.08964538574385017,0.008036295185163696,5.549407867063959e-05,0.014410972595214844,10,5,2
718,-32.95901870727539,-33.00000000000166,0.040981292726272045,0.001679466353516398,5.549407867063959e-05,0.01367497444152832,10,5,2
719,-32.80108642578125,-33.00000000000166,0.19891357422041267,0.03956661000913962,5.549407867063959e-05,0.008639335632324219,10,5,2
720,-32.6793327331543,-32.50000000000167,0.1793327331526271,0.03216022917999136,5.549407867063959e-05,0.00762486457824707,10,5,2
721,-32.554931640625,-32.50000000000167,0.054931640623330225,0.0030174851415707034,5.549407867063959e-05,0.014873266220092773,10,5,2
722,-32.487998962402344,-32.50000000000167,0.012001037599326025,0.00014402490346043697,5.549407867063959e-05,0.01429295539855957,10,5,2
723,-32.55897903442383,-33.00000000000166,0.44102096557783455,0.19449949207920553,5.549407867063959e-05,0.011840105056762695,10,5,2
724,-32.698387145996094,-33.00000000000166,0.3016128540055689,0.09097031370138463,5.549407867063959e-05,0.0081329345703125,10,5,2
725,-32.61756134033203,-32.50000000000167,0.11756134033036147,0.013820668740271075,5.549407867063959e-05,0.015815019607543945,10,5,2
726,-32.536983489990234,-32.50000000000167,0.0369834899885646,0.001367778531734258,5.549407867063959e-05,0.012439966201782227,10,5,2
727,-32.54023742675781,-32.50000000000167,0.040237426756142725,0.0016190505119559504,5.549407867063959e-05,0.008547782897949219,10,5,2
728,-32.393550872802734,-32.50000000000167,0.1064491271989354,0.011331416681415128,5.549407867063959e-05,0.0075910091400146484,10,5,2
729,-32.137672424316406,-32.50000000000167,0.3623275756852635,0.13128127210196036,5.549407867063959e-05,0.011024236679077148,10,5,2
